element,elementLabel,image
http://www.wikidata.org/entity/Q5065364,C6 vertebra,http://commons.wikimedia.org/wiki/Special:FilePath/C6%20animation.gif
http://www.wikidata.org/entity/Q5065364,C6 vertebra,http://commons.wikimedia.org/wiki/Special:FilePath/Cervical%20vertebra%206%20close-up%20laterral%20surface%20animation.gif
http://www.wikidata.org/entity/Q16336,Лопатка,http://commons.wikimedia.org/wiki/Special:FilePath/Scapula%20-%20posterior%20view2.png
http://www.wikidata.org/entity/Q51077998,fourth rib,http://commons.wikimedia.org/wiki/Special:FilePath/Fourth%20rib%20animation.gif
http://www.wikidata.org/entity/Q2535206,distal phalanx,http://commons.wikimedia.org/wiki/Special:FilePath/Scheme%20human%20hand%20bones-en.svg
http://www.wikidata.org/entity/Q12068630,second rib,http://commons.wikimedia.org/wiki/Special:FilePath/Second%20rib%20animation2.gif
http://www.wikidata.org/entity/Q641692,Киль,http://commons.wikimedia.org/wiki/Special:FilePath/Br%C3%A9chet.png
http://www.wikidata.org/entity/Q928150,плоские кости,http://commons.wikimedia.org/wiki/Special:FilePath/621%20Anatomy%20of%20a%20Flat%20Bone.jpg
http://www.wikidata.org/entity/Q7700897,tenth rib,http://commons.wikimedia.org/wiki/Special:FilePath/Tenth%20rib%20animation.gif
http://www.wikidata.org/entity/Q900457,Шейные позвонки,http://commons.wikimedia.org/wiki/Special:FilePath/Cervical%20vertebrae%20animation%20small.gif
http://www.wikidata.org/entity/Q6495661,lateral part of occipital bone,http://commons.wikimedia.org/wiki/Special:FilePath/Lateral%20parts%20of%20occipital%20bone%20-%20animation01.gif
http://www.wikidata.org/entity/Q5454239,first rib,http://commons.wikimedia.org/wiki/Special:FilePath/First%20rib%20animation.gif
http://www.wikidata.org/entity/Q51077755,third rib,http://commons.wikimedia.org/wiki/Special:FilePath/Third%20rib%20animation.gif
http://www.wikidata.org/entity/Q51079017,seventh rib,http://commons.wikimedia.org/wiki/Special:FilePath/Seventh%20rib%20animation.gif
http://www.wikidata.org/entity/Q51093562,eighth rib,http://commons.wikimedia.org/wiki/Special:FilePath/Eighth%20ribs%20animation.gif
