breedLabel,breedImage
Pont-Audemer Spaniel,http://commons.wikimedia.org/wiki/Special:FilePath/04031158%20Epagneul%20Pont%20Audemer.jpg
Pont-Audemer Spaniel,http://commons.wikimedia.org/wiki/Special:FilePath/Epagneul%20de%20pont-audemer%20509.jpg
Pont-Audemer Spaniel,http://commons.wikimedia.org/wiki/Special:FilePath/Epagneul%20de%20pont-audemer%20h67.jpg
Boykin Spaniel,http://commons.wikimedia.org/wiki/Special:FilePath/Boykin%20spaniel.jpg
Кламбер-спаниель,http://commons.wikimedia.org/wiki/Special:FilePath/Clumber%20spaniel%20767.jpg
Кламбер-спаниель,http://commons.wikimedia.org/wiki/Special:FilePath/Clumber%20spaniel%20glowa%20rybnik-kamien%20ppl.jpg
Американский водяной спаниель,http://commons.wikimedia.org/wiki/Special:FilePath/AmWaterSpan1.jpg
Азавак,http://commons.wikimedia.org/wiki/Special:FilePath/Azawakh%20bitch%20Shira-tb.jpg
русская псовая борзая,http://commons.wikimedia.org/wiki/Special:FilePath/Bathsheba.jpg
Басенджи,http://commons.wikimedia.org/wiki/Special:FilePath/Basenji%20600.jpg
Armant,http://commons.wikimedia.org/wiki/Special:FilePath/Armant%20dog%2C%20with%20some%20orange%20stuff%20and%20trees%20in%20background.jpg
Бордоский дог,http://commons.wikimedia.org/wiki/Special:FilePath/DJT%200086.jpg
Тайский бангку,http://commons.wikimedia.org/wiki/Special:FilePath/Thai%20Bangkaew%20Dog%202.jpg
керн-терьер,http://commons.wikimedia.org/wiki/Special:FilePath/Cairn-Terrier-2008.PNG
керн-терьер,http://commons.wikimedia.org/wiki/Special:FilePath/Cairn-Terrier-Garten1.jpg
керн-терьер,http://commons.wikimedia.org/wiki/Special:FilePath/Cairn%20Terrier%20%28PSF%29.jpg
Китайская хохлатая собака,http://commons.wikimedia.org/wiki/Special:FilePath/TiaFront.jpg
Фландрский бувье,http://commons.wikimedia.org/wiki/Special:FilePath/Bouvier.JPG
Немецкий ягдтерьер,http://commons.wikimedia.org/wiki/Special:FilePath/Terier%20niemiecki%20my%C5%9Bliwski%20721.jpg
Аиди,http://commons.wikimedia.org/wiki/Special:FilePath/Aidi.jpg
Якутская лайка,http://commons.wikimedia.org/wiki/Special:FilePath/618736210a13.jpg
Lupo Italiano,http://commons.wikimedia.org/wiki/Special:FilePath/LupoItaliano.jpg
керри-блю-терьер,http://commons.wikimedia.org/wiki/Special:FilePath/Kerry%20Blue%20Terrier.jpg
Малая львиная собака,http://commons.wikimedia.org/wiki/Special:FilePath/Lowchen.jpg
Малая львиная собака,http://commons.wikimedia.org/wiki/Special:FilePath/LowchenFemale.jpg
Пикардийский спаниель,http://commons.wikimedia.org/wiki/Special:FilePath/Epagneul%20picard%20685.jpg
Пикардийский спаниель,http://commons.wikimedia.org/wiki/Special:FilePath/Epagneul%20Picard%20ter.jpg
Леопардовая собака Катахулы,http://commons.wikimedia.org/wiki/Special:FilePath/02.%20Coahoma%20Arkansas%20Logan.jpg
Леопардовая собака Катахулы,http://commons.wikimedia.org/wiki/Special:FilePath/Catahoula%20Leopard%20Dog.jpg
Леопардовая собака Катахулы,http://commons.wikimedia.org/wiki/Special:FilePath/Louisiana%20Cataholula%20Leopard%20Dog%20-%20Coahoma%20Arkansas.JPG
Леопардовая собака Катахулы,http://commons.wikimedia.org/wiki/Special:FilePath/Sasquachcatahoulaspurdy.jpg
Малый мюнстерлендер,http://commons.wikimedia.org/wiki/Special:FilePath/Kleiner%20Munsterlander%20edit.jpg
Юрская гончая,http://commons.wikimedia.org/wiki/Special:FilePath/09057110%20Jura%20Laufhund.jpg
Hanover Hound,http://commons.wikimedia.org/wiki/Special:FilePath/Hannoverscher%20Schweisshund.jpg
Ирландский мягкошёрстный пшеничный терьер,http://commons.wikimedia.org/wiki/Special:FilePath/Soft%20Coated%20Wheaten%20Terrier%20600.jpg
Польская гончая,http://commons.wikimedia.org/wiki/Special:FilePath/PolishScenthound-ChPl-NEMROD-KlusujacaSfora-wl.GrzegorzWeron.jpg
Griffon Belge,http://commons.wikimedia.org/wiki/Special:FilePath/Griffon%20belge.jpg
Американский кокер-спаниель,http://commons.wikimedia.org/wiki/Special:FilePath/AmericanCockerSpaniel%20wb.jpg
Американский кокер-спаниель,http://commons.wikimedia.org/wiki/Special:FilePath/Cocker%20Spaniel%20Puppy.jpg
Кавалер кинг чарльз спаниель,http://commons.wikimedia.org/wiki/Special:FilePath/Betty%20Verdure.Photo%20Ph.BRIZARD.JPG
Кавалер кинг чарльз спаниель,http://commons.wikimedia.org/wiki/Special:FilePath/CavalierKgChas2%20wb.jpg
Cretan Hound,http://commons.wikimedia.org/wiki/Special:FilePath/Kritikosichnilatis%201.jpg
бульмастиф,http://commons.wikimedia.org/wiki/Special:FilePath/Brindle%20bullmastiff%20female.jpg
бульмастиф,http://commons.wikimedia.org/wiki/Special:FilePath/Bullmastiff%20in%20Riga%204.JPG
бульмастиф,http://commons.wikimedia.org/wiki/Special:FilePath/Dog%20Bullmastiff%20600.jpg
Курцхаар,http://commons.wikimedia.org/wiki/Special:FilePath/%282%29BIR%20Grupp%207-%20KORTH%C3%85RIG%20VORSTEH%2C%20J%20Bj%C3%B6rnk%C3%A4rrets%20Hertzogin%20Aida%20%2824208119306%29.jpg
Курцхаар,http://commons.wikimedia.org/wiki/Special:FilePath/Duitse%20staande%20korthaar%2010-10-1.jpg
Сенбернар,http://commons.wikimedia.org/wiki/Special:FilePath/Hummel%20Vedor%20vd%20Robandahoeve.jpg
Тазы,http://commons.wikimedia.org/wiki/Special:FilePath/Chart%20%C5%9Brodkowoazjatycki%20Zeila.jpg
Эштрельская овчарка,http://commons.wikimedia.org/wiki/Special:FilePath/Cao%20da%20serra%20da%20estrela%20546.jpg
Эштрельская овчарка,http://commons.wikimedia.org/wiki/Special:FilePath/Cao%20da%20serra%20da%20estrela%20777.jpg
Эштрельская овчарка,http://commons.wikimedia.org/wiki/Special:FilePath/Cao%20da%20serra%20da%20estrela%20g%C5%82owa%20546.jpg
Као де кастро-лаборейро,http://commons.wikimedia.org/wiki/Special:FilePath/Cao%20de%20castro%20laboreiro.jpg
Словацкий копов,http://commons.wikimedia.org/wiki/Special:FilePath/MVP%20Nitra%202004%20%288%29.jpg
Maneto,http://commons.wikimedia.org/wiki/Special:FilePath/Maneto1.jpg
Ямтхунд,http://commons.wikimedia.org/wiki/Special:FilePath/Jamthlnd.jpg
Харьер,http://commons.wikimedia.org/wiki/Special:FilePath/Harrier%20tricolour.jpg
Лейкленд-терьер,http://commons.wikimedia.org/wiki/Special:FilePath/Lakeland%20Terrier.jpg
Континентальный той-спаниель,http://commons.wikimedia.org/wiki/Special:FilePath/Papillon-dog-black.jpg
Континентальный той-спаниель,http://commons.wikimedia.org/wiki/Special:FilePath/Papillons%20circa%201911.jpg
Большой швейцарский зенненхунд,http://commons.wikimedia.org/wiki/Special:FilePath/BovaroSvizzero.jpg
Большой швейцарский зенненхунд,http://commons.wikimedia.org/wiki/Special:FilePath/Duzy%20szwajcarski%20pies%20i%20entelbuher%20pl.jpg
