element,elementLabel,symbol,atomicNumber,discoveryYear,discoveredByLabel,image
http://www.wikidata.org/entity/Q1119,гафний,Hf,72,1922,"Костер, Дирк",http://commons.wikimedia.org/wiki/Special:FilePath/Hf-crystal%20bar.jpg
http://www.wikidata.org/entity/Q1123,тантал,Ta,73,1802,"Экеберг, Андерс Густав",http://commons.wikimedia.org/wiki/Special:FilePath/Tantalum%20single%20crystal%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q743,вольфрам,W,74,1783,Fausto Elhuyar,http://commons.wikimedia.org/wiki/Special:FilePath/Wolfram%20evaporated%20crystals%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q743,вольфрам,W,74,1783,Juan José Elhuyar,http://commons.wikimedia.org/wiki/Special:FilePath/Wolfram%20evaporated%20crystals%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q737,рений,Re,75,1925,"Ноддак, Вальтер",http://commons.wikimedia.org/wiki/Special:FilePath/Rhenium%20single%20crystal%20bar%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q737,рений,Re,75,1925,"Ноддак, Ида",http://commons.wikimedia.org/wiki/Special:FilePath/Rhenium%20single%20crystal%20bar%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q737,рений,Re,75,1925,Otto Berg,http://commons.wikimedia.org/wiki/Special:FilePath/Rhenium%20single%20crystal%20bar%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q751,осмий,Os,76,1804,Уильям Хайд Волластон,http://commons.wikimedia.org/wiki/Special:FilePath/Osmium%20crystals.jpg
http://www.wikidata.org/entity/Q751,осмий,Os,76,1804,"Теннант, Смитсон",http://commons.wikimedia.org/wiki/Special:FilePath/Osmium%20crystals.jpg
http://www.wikidata.org/entity/Q877,иридий,Ir,77,1803,"Теннант, Смитсон",http://commons.wikimedia.org/wiki/Special:FilePath/Iridium%20foil.jpg
http://www.wikidata.org/entity/Q880,платина,Pt,78,1557,Жюль Сезар Скалигер,http://commons.wikimedia.org/wiki/Special:FilePath/Platinum%20crystals.jpg
http://www.wikidata.org/entity/Q880,платина,Pt,78,1557,"Уллоа, Антонио",http://commons.wikimedia.org/wiki/Special:FilePath/Platinum%20crystals.jpg
http://www.wikidata.org/entity/Q897,золото,Au,79,-6000,http://www.wikidata.org/.well-known/genid/1a9eb9f7d2e410c81adc8f43484355f4,http://commons.wikimedia.org/wiki/Special:FilePath/Gold-crystals.jpg
http://www.wikidata.org/entity/Q925,ртуть,Hg,80,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mercury-element.jpg
